roi;file;img;url;group;final_mask;to_timeseries;obs;date;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204;Lenght Box;0;0;-;28/07/2020;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20200827T155229_R111_T17MNQ_20200907T083806.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20200827T155229_R111_T17MNQ_20200907T083806.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20200827T155229_R111_T17MNQ_20200907T083806;Lenght Box;0;0;quema en vivo;27/08/2020;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947;Lenght Box;0;0;-;8/02/2021;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20210213T155219_R111_T17MNQ_20210215T000848.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20210213T155219_R111_T17MNQ_20210215T000848.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20210213T155219_R111_T17MNQ_20210215T000848;Lenght Box;0;0;-;13/02/2021;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20210713T155229_R111_T17MNQ_20210714T082111.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20210713T155229_R111_T17MNQ_20210714T082111.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20210713T155229_R111_T17MNQ_20210714T082111;Lenght Box;1;0;-;13/07/2021;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20220109T155219_R111_T17MNQ_20220111T000208.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20220109T155219_R111_T17MNQ_20220111T000208.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20220109T155219_R111_T17MNQ_20220111T000208;Lenght Box;0;0;-;9/01/2022;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401;Lenght Box;0;0;-;24/01/2022;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20220129T155219_R111_T17MNQ_20220214T043049.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20220129T155219_R111_T17MNQ_20220214T043049.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20220129T155219_R111_T17MNQ_20220214T043049;Lenght Box;0;0;-;29/01/2022;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20220203T155221_R111_T17MNQ_20220218T062650.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20220203T155221_R111_T17MNQ_20220218T062650.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20220203T155221_R111_T17MNQ_20220218T062650;Lenght Box;1;0;-;3/02/2022;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20220807T155229_R111_T17MNQ_20220809T071918.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20220807T155229_R111_T17MNQ_20220809T071918.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20220807T155229_R111_T17MNQ_20220809T071918;Lenght Box;0;0;-;7/08/2022;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428;Lenght Box;0;0;-;12/08/2022;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20171101T155209_R111_T17MNQ_20201014T175648.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20171101T155209_R111_T17MNQ_20201014T175648.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20171101T155209_R111_T17MNQ_20201014T175648;Lenght Box;0;0;-;1/11/2017;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228;Lenght Box;0;0;-;9/02/2018;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814;Lenght Box;1;1;-;1/03/2018;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945;Lenght Box;1;1;-;25/01/2019;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659;Lenght Box;1;1;-;19/02/2020;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20200305T155221_R111_T17MNQ_20200928T171715.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20200305T155221_R111_T17MNQ_20200928T171715.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20200305T155221_R111_T17MNQ_20200928T171715;Lenght Box;0;0;-;5/03/2020;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20201016T155229_R111_T17MNQ_20201027T133838.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20201016T155229_R111_T17MNQ_20201027T133838.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20201016T155229_R111_T17MNQ_20201027T133838;Lenght Box;0;0;-;16/10/2020;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20201021T155231_R111_T17MNQ_20201023T015904.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20201021T155231_R111_T17MNQ_20201023T015904.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20201021T155231_R111_T17MNQ_20201023T015904;Lenght Box;0;0;-;21/10/2020;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947;Lenght Box;0;0;-;8/02/2021;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20210305T155219_R111_T17MNQ_20210306T163941.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20210305T155219_R111_T17MNQ_20210306T163941.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20210305T155219_R111_T17MNQ_20210306T163941;Lenght Box;0;0;-;5/03/2021;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20210708T155221_R111_T17MNQ_20210709T114447.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20210708T155221_R111_T17MNQ_20210709T114447.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20210708T155221_R111_T17MNQ_20210709T114447;Lenght Box;0;0;-;8/07/2021;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20211120T155219_R111_T17MNQ_20211121T045231.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20211120T155219_R111_T17MNQ_20211121T045231.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20211120T155219_R111_T17MNQ_20211121T045231;Lenght Box;0;0;-;20/11/2021;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20211130T155219_R111_T17MNQ_20211201T064217.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20211130T155219_R111_T17MNQ_20211201T064217.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20211130T155219_R111_T17MNQ_20211201T064217;Lenght Box;0;0;-;30/11/2021;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20211210T155219_R111_T17MNQ_20211211T005751.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20211210T155219_R111_T17MNQ_20211211T005751.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20211210T155219_R111_T17MNQ_20211211T005751;Lenght Box;1;1;-;10/12/2021;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20220213T155221_R111_T17MNQ_20220222T204617.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20220213T155221_R111_T17MNQ_20220222T204617.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20220213T155221_R111_T17MNQ_20220222T204617;Lenght Box;0;0;-;13/02/2022;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20220218T155219_R111_T17MNQ_20220225T024253.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20220218T155219_R111_T17MNQ_20220225T024253.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20220218T155219_R111_T17MNQ_20220225T024253;Lenght Box;0;0;-;18/02/2022;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2B_MSIL2A_20220728T155229_R111_T17MNQ_20220729T202751.tif;D:\length_box\ROI_0011_02\S2B_MSIL2A_20220728T155229_R111_T17MNQ_20220729T202751.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2B_MSIL2A_20220728T155229_R111_T17MNQ_20220729T202751;Lenght Box;1;1;verificar;28/07/2022;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428;Lenght Box;0;0;quema en vivo;12/08/2022;;
ROI_0011_02;D:\scburning\ROI_0011_02\S2A_MSIL2A_20221001T155231_R111_T17MNQ_20221002T071336.tif;D:\length_box\ROI_0011_02\S2A_MSIL2A_20221001T155231_R111_T17MNQ_20221002T071336.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_02__S2A_MSIL2A_20221001T155231_R111_T17MNQ_20221002T071336;Lenght Box;0;0;-;1/10/2022;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20180326T155221_R111_T17MNQ_20201013T143057.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20180326T155221_R111_T17MNQ_20201013T143057.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20180326T155221_R111_T17MNQ_20201013T143057;Lenght Box;0;0;-;26/03/2018;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20180331T155219_R111_T17MNQ_20201013T172443.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20180331T155219_R111_T17MNQ_20201013T172443.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20180331T155219_R111_T17MNQ_20201013T172443;Lenght Box;0;0;-;31/03/2018;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646;Lenght Box;1;1;-;9/07/2018;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20180907T155209_R111_T17MNQ_20201011T095214.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20180907T155209_R111_T17MNQ_20201011T095214.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20180907T155209_R111_T17MNQ_20201011T095214;Lenght Box;0;0;nubes;7/09/2018;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211;Lenght Box;0;0;-;11/12/2018;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20190604T155229_R111_T17MNQ_20201005T221024.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20190604T155229_R111_T17MNQ_20201005T221024.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20190604T155229_R111_T17MNQ_20201005T221024;Lenght Box;0;0;-;4/06/2019;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129;Lenght Box;1;0;quema en vivo;24/07/2019;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810;Lenght Box;1;0;-;9/02/2020;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20200623T155231_R111_T17MNQ_20200823T193238.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20200623T155231_R111_T17MNQ_20200823T193238.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20200623T155231_R111_T17MNQ_20200823T193238;Lenght Box;0;0;-;23/06/2020;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204;Lenght Box;0;0;-;28/07/2020;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20200802T155231_R111_T17MNQ_20200815T210402.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20200802T155231_R111_T17MNQ_20200815T210402.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20200802T155231_R111_T17MNQ_20200815T210402;Lenght Box;0;0;-;2/08/2020;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20201031T155231_R111_T17MNQ_20201102T060657.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20201031T155231_R111_T17MNQ_20201102T060657.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20201031T155231_R111_T17MNQ_20201102T060657;Lenght Box;0;0;-;31/10/2020;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20210114T155219_R111_T17MNQ_20210122T091309.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20210114T155219_R111_T17MNQ_20210122T091309.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20210114T155219_R111_T17MNQ_20210122T091309;Lenght Box;1;0;-;14/01/2021;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947;Lenght Box;0;0;-;8/02/2021;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401.tif;D:\length_box\ROI_0011_03\S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401;Lenght Box;1;0;-;24/01/2022;;
ROI_0011_03;D:\scburning\ROI_0011_03\S2B_MSIL2A_20221006T155219_R111_T17MNQ_20221007T095049.tif;D:\length_box\ROI_0011_03\S2B_MSIL2A_20221006T155219_R111_T17MNQ_20221007T095049.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_03__S2B_MSIL2A_20221006T155219_R111_T17MNQ_20221007T095049;Lenght Box;0;0;-;6/10/2022;;
ROI_0013_02;D:\scburning\ROI_0013_02\S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.tif;D:\length_box\ROI_0013_02\S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0013_02__S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856;Lenght Box;1;0;-;6/11/2017;;
ROI_0013_02;D:\scburning\ROI_0013_02\S2B_MSIL2A_20180828T155209_R111_T17MNQ_20201110T120001.tif;D:\length_box\ROI_0013_02\S2B_MSIL2A_20180828T155209_R111_T17MNQ_20201110T120001.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0013_02__S2B_MSIL2A_20180828T155209_R111_T17MNQ_20201110T120001;Lenght Box;0;0;-;28/08/2018;;
ROI_0013_02;D:\scburning\ROI_0013_02\S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200.tif;D:\length_box\ROI_0013_02\S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0013_02__S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200;Lenght Box;1;0;-;17/09/2018;;
ROI_0013_02;D:\scburning\ROI_0013_02\S2B_MSIL2A_20180927T155219_R111_T17MNQ_20201009T053858.tif;D:\length_box\ROI_0013_02\S2B_MSIL2A_20180927T155219_R111_T17MNQ_20201009T053858.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0013_02__S2B_MSIL2A_20180927T155219_R111_T17MNQ_20201009T053858;Lenght Box;0;0;-;27/09/2018;;
