1;good label?;;;;;
D:\dataset\v6\input\ROI_0011_01__S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2A_MSIL2A_20200703T155231_R111_T17MNQ_20200825T013427.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2A_MSIL2A_20220203T155221_R111_T17MNQ_20220218T062650.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20180219T155219_R111_T17MNQ_20201013T231600.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20190624T155229_R111_T17MNQ_20201006T055803.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2B_MSIL2A_20210713T155229_R111_T17MNQ_20210714T082111.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02_03__S2A_MSIL2A_20180902T155221_R111_T17MNQ_20201011T073521.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02_04__S2A_MSIL2A_20180902T155221_R111_T17MNQ_20201011T073521.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02__S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02__S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02__S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02__S2B_MSIL2A_20211210T155219_R111_T17MNQ_20211211T005751.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_02__S2B_MSIL2A_20220728T155229_R111_T17MNQ_20220729T202751.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03_01__S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03_02__S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03_03__S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03_04__S2B_MSIL2A_20190125T155219_R111_T17MNQ_20201008T043945.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03__S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03__S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03__S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03__S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_03__S2B_MSIL2A_20210114T155219_R111_T17MNQ_20210122T091309.tif;1;;;;;
D:\dataset\v6\input\ROI_0012_01_04__S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.tif;1;;;;;
D:\dataset\v6\input\ROI_0012_03_01__S2A_MSIL2A_20181022T155221_R111_T17MNQ_20201009T140950.tif;1;;;;;
D:\dataset\v6\input\ROI_0012_03_03__S2A_MSIL2A_20181022T155221_R111_T17MNQ_20201009T140950.tif;1;;;;;
D:\dataset\v6\input\ROI_0012_04_01__S2B_MSIL2A_20181106T155219_R111_T17MNQ_20201008T162712.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_01_02__S2B_MSIL2A_20180828T155209_R111_T17MNQ_20201110T120001.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_01_04__S2B_MSIL2A_20180828T155209_R111_T17MNQ_20201110T120001.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02_02__S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02_04__S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02__S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02__S2A_MSIL2A_20210429T155221_R111_T17MNQ_20210430T083115.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02__S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02__S2B_MSIL2A_20190902T155229_R111_T17MNQ_20201004T083448.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_02__S2B_MSIL2A_20200708T155229_R111_T17MNQ_20200912T123909.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_03_02__S2A_MSIL2A_20181022T155221_R111_T17MNQ_20201009T140950.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_03_04__S2A_MSIL2A_20181022T155221_R111_T17MNQ_20201009T140950.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04_02__S2A_MSIL2A_20181101T155221_R111_T17MNQ_20210517T042818.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04_04__S2A_MSIL2A_20181101T155221_R111_T17MNQ_20210517T042818.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04__S2A_MSIL2A_20191226T155221_R111_T17MNQ_20201003T094726.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04__S2A_MSIL2A_20200911T155231_R111_T17MNQ_20200913T065704.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04__S2A_MSIL2A_20210419T155221_R111_T17MNQ_20210420T090213.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04__S2B_MSIL2A_20171101T155209_R111_T17MNQ_20201014T175648.tif;1;;;;;
D:\dataset\v6\input\ROI_0013_04__S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.tif;1;;;;;
D:\dataset\v6\input\ROI_0014_01_04__S2A_MSIL2A_20180803T155221_R111_T17MNQ_20201010T203309.tif;1;;;;;
D:\dataset\v6\input\ROI_0014_03_04__S2A_MSIL2A_20200703T155231_R111_T17MNQ_20200825T013427.tif;1;;;;;
D:\dataset\v6\input\ROI_0014_04_04__S2A_MSIL2A_20200723T155231_R111_T17MNQ_20200817T055607.tif;1;;;;;
D:\dataset\v6\input\ROI_0015_01_02__S2B_MSIL2A_20180427T153619_R068_T17MPP_20201013T033127.tif;1;;;;;
D:\dataset\v6\input\ROI_0015_02_02__S2A_MSIL2A_20190127T153621_R068_T17MPP_20201008T050359.tif;0;;;;;
D:\dataset\v6\input\ROI_0018_01_01__S2A_MSIL2A_20180522T153621_R068_T17MPN_20201012T125615.tif;1;;;;;
D:\dataset\v6\input\ROI_0018_01_02__S2A_MSIL2A_20180522T153621_R068_T17MPN_20201012T125615.tif;1;;;;;
D:\dataset\v6\input\ROI_0018_01_03__S2A_MSIL2A_20180522T153621_R068_T17MPN_20201012T125615.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_01_04__S2A_MSIL2A_20180604T155221_R111_T17MNQ_20201026T151015.tif;0;;;;;
D:\dataset\v6\input\ROI_0020_01__S2A_MSIL2A_20170907T155221_R111_T17MNQ_20210201T204538.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_01__S2A_MSIL2A_20190609T155221_R111_T17MNQ_20201006T000112.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_01__S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_01__S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_01__S2B_MSIL2A_20200130T155219_R111_T17MNQ_20201002T155252.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_01__S2B_MSIL2A_20220129T155219_R111_T17MNQ_20220214T043049.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_04__S2A_MSIL2A_20180614T155221_R111_T17MNQ_20201027T004505.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_04__S2A_MSIL2A_20210628T155221_R111_T17MNQ_20210630T022133.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_04__S2B_MSIL2A_20190614T155229_R111_T17MNQ_20201006T021702.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_04__S2B_MSIL2A_20200708T155229_R111_T17MNQ_20200912T123909.tif;1;;;;;
D:\dataset\v6\input\ROI_0020_04__S2B_MSIL2A_20220129T155219_R111_T17MNQ_20220214T043049.tif;1;;;;;
D:\dataset\v6\input\ROI_0021_01_01__S2B_MSIL2A_20180510T155219_R111_T17MNQ_20201012T081930.tif;1;;;;;
D:\dataset\v6\input\ROI_0021_01_02__S2B_MSIL2A_20180510T155219_R111_T17MNQ_20201012T081930.tif;1;;;;;
D:\dataset\v6\input\ROI_0021_01_04__S2B_MSIL2A_20180510T155219_R111_T17MNQ_20201012T081930.tif;1;;;;;
D:\dataset\v6\input\ROI_0021_01__S2A_MSIL2A_20221220T155221_R111_T17MNQ_20221221T102357.tif;1;;;;;
D:\dataset\v6\input\ROI_0022_01_04__S2B_MSIL2A_20180924T153609_R068_T17MNQ_20201009T043229.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_01_01__S2A_MSIL2A_20181121T155211_R111_T17MNQ_20201008T202811.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_01_02__S2A_MSIL2A_20181121T155211_R111_T17MNQ_20201008T202811.tif;0;;;;;
D:\dataset\v6\input\ROI_0024_01_03__S2A_MSIL2A_20181121T155211_R111_T17MNQ_20201008T202811.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_02__S2A_MSIL2A_20171216T155221_R111_T17MNQ_20201014T142702.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_02__S2A_MSIL2A_20180704T155221_R111_T17MNQ_20201011T115127.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_02__S2A_MSIL2A_20200723T155231_R111_T17MNQ_20200817T055607.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_02__S2B_MSIL2A_20210524T155219_R111_T17MNQ_20210525T064955.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_03__S2A_MSIL2A_20170927T155221_R111_T17MNQ_20210202T103921.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_03__S2A_MSIL2A_20180912T155221_R111_T17MNQ_20201009T002333.tif;1;;;;;
D:\dataset\v6\input\ROI_0024_03__S2B_MSIL2A_20200310T155219_R111_T17MNQ_20201005T034802.tif;1;;;;;
D:\dataset\v6\input\ROI_0026_01_03__S2A_MSIL2A_20180412T153621_R068_T17MNQ_20201012T212254.tif;0;;;;;
D:\dataset\v6\input\ROI_0027_01_04__S2A_MSIL2A_20180522T153621_R068_T17MNQ_20201012T125609.tif;0;;;;;
D:\dataset\v6\input\ROI_0028_01_01__S2A_MSIL2A_20180922T155221_R111_T17MNQ_20201009T034358.tif;0;;;;;
D:\dataset\v6\input\ROI_0028_01_03__S2A_MSIL2A_20180922T155221_R111_T17MNQ_20201009T034358.tif;0;;;;;
D:\dataset\v6\input\ROI_0029_01_02__S2B_MSIL2A_20190102T153619_R068_T17MNQ_20201007T221751.tif;1;;;;;
D:\dataset\v6\input\ROI_0029_01_04__S2B_MSIL2A_20190102T153619_R068_T17MNQ_20201007T221751.tif;1;;;;;
D:\dataset\v6\input\ROI_0030_01_04__S2B_MSIL2A_20180427T153619_R068_T17MNQ_20201013T033129.tif;1;;;;;
D:\dataset\v6\input\ROI_0030_04__S2A_MSIL2A_20190117T153621_R068_T17MNQ_20201008T021728.tif;1;;;;;
D:\dataset\v6\input\ROI_0030_04__S2B_MSIL2A_20171211T155209_R111_T17MNQ_20201014T133027.tif;1;;;;;
D:\dataset\v6\input\ROI_0030_04__S2B_MSIL2A_20180110T155219_R111_T17MNQ_20201014T044805.tif;1;;;;;
D:\dataset\v6\input\ROI_0030_04__S2B_MSIL2A_20201016T155229_R111_T17MNQ_20201027T133838.tif;1;;;;;
D:\dataset\v6\input\ROI_0030_04__S2B_MSIL2A_20210511T153619_R068_T17MNQ_20210513T112952.tif;1;;;;;
D:\dataset\v6\input\ROI_0031_01_01__S2B_MSIL2A_20180427T153619_R068_T17MNQ_20201013T033129.tif;1;;;;;
D:\dataset\v6\input\ROI_0031_01_02__S2B_MSIL2A_20180427T153619_R068_T17MNQ_20201013T033129.tif;1;;;;;
D:\dataset\v6\input\ROI_0031_01_03__S2B_MSIL2A_20180427T153619_R068_T17MNQ_20201013T033129.tif;0;;;;;
D:\dataset\v6\input\ROI_0032_01_03__S2A_MSIL2A_20180604T155221_R111_T17MNQ_20201026T151015.tif;0;;;;;
D:\dataset\v6\input\ROI_0033_01_01__S2A_MSIL2A_20180415T155221_R111_T17MNQ_20201012T223544.tif;0;;;;;
D:\dataset\v6\input\ROI_0034_01_02__S2B_MSIL2A_20180427T153619_R068_T17MNQ_20201013T033129.tif;0;;;;;
D:\dataset\v6\input\ROI_0034_01_04__S2B_MSIL2A_20180427T153619_R068_T17MNQ_20201013T033129.tif;1;;;;;
D:\dataset\v6\input\ROI_0035_01_01__S2B_MSIL2A_20190721T153629_R068_T17MNQ_20201005T174327.tif;1;;;;;
D:\dataset\v6\input\ROI_0035_01_03__S2B_MSIL2A_20190721T153629_R068_T17MNQ_20201005T174327.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_01_01__S2B_MSIL2A_20180417T153619_R068_T17MNQ_20201012T233240.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_01_02__S2B_MSIL2A_20180417T153619_R068_T17MNQ_20201012T233240.tif;0;;;;;
D:\dataset\v6\input\ROI_0036_02_02__S2A_MSIL2A_20180704T155221_R111_T17MNQ_20201011T115127.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_13_01__S2B_MSIL2A_20211130T155219_R111_T17MNQ_20211201T064217.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_13_02__S2B_MSIL2A_20211130T155219_R111_T17MNQ_20211201T064217.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_14_02__S2A_MSIL2A_20220104T155221_R111_T17MNQ_20220105T010155.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_15_01__S2B_MSIL2A_20220615T153619_R068_T17MNQ_20220618T155955.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_16_01__S2B_MSIL2A_20220804T153629_R068_T17MNQ_20220805T010757.tif;1;;;;;
D:\dataset\v6\input\ROI_0036_16_02__S2B_MSIL2A_20220804T153629_R068_T17MNQ_20220805T010757.tif;0;;;;;
D:\dataset\v6\input\ROI_0037_01_01__S2A_MSIL2A_20190127T153621_R068_T17MNQ_20201008T050356.tif;0;;;;;
D:\dataset\v6\input\ROI_0037_02_01__S2A_MSIL2A_20200720T153621_R068_T17MNQ_20200816T203433.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_03_01__S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_04_01__S2B_MSIL2A_20210312T153619_R068_T17MNQ_20210313T190656.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_04_02__S2B_MSIL2A_20210312T153619_R068_T17MNQ_20210313T190656.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_04_03__S2B_MSIL2A_20210312T153619_R068_T17MNQ_20210313T190656.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_05_01__S2A_MSIL2A_20210824T153621_R068_T17MNQ_20210825T062457.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_06_01__S2A_MSIL2A_20210913T153621_R068_T17MNQ_20210914T083100.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_06_02__S2A_MSIL2A_20210913T153621_R068_T17MNQ_20210914T083100.tif;1;;;;;
D:\dataset\v6\input\ROI_0037_10_01__S2B_MSIL2A_20220529T155219_R111_T17MNQ_20220530T051157.tif;0;;;;;
D:\dataset\v6\input\ROI_0038_03_02__S2A_MSIL2A_20190825T153621_R068_T17MNQ_20201005T044028.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_04_04__S2B_MSIL2A_20190919T153619_R068_T17MNQ_20201004T150641.tif;0;;;;;
D:\dataset\v6\input\ROI_0038_05_02__S2A_MSIL2A_20200112T153611_R068_T17MNQ_20201002T174343.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_05_04__S2A_MSIL2A_20200112T153611_R068_T17MNQ_20201002T174343.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_06_02__S2B_MSIL2A_20200605T153619_R068_T17MNQ_20200826T072443.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_06_04__S2B_MSIL2A_20200605T153619_R068_T17MNQ_20200826T072443.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_09_02__S2B_MSIL2A_20201006T155229_R111_T17MNQ_20201010T064058.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_11_02__S2B_MSIL2A_20210131T153619_R068_T17MNQ_20210205T220930.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_11_04__S2B_MSIL2A_20210131T153619_R068_T17MNQ_20210205T220930.tif;1;;;;;
D:\dataset\v6\input\ROI_0038_13_01__S2A_MSIL2A_20211013T153621_R068_T17MNQ_20211014T072046.tif;0;;;;;
D:\dataset\v6\input\ROI_0039_01_01__S2A_MSIL2A_20180624T155221_R111_T17MNQ_20201012T015058.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_01_02__S2A_MSIL2A_20180624T155221_R111_T17MNQ_20201012T015058.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_01_03__S2A_MSIL2A_20180624T155221_R111_T17MNQ_20201012T015058.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_01_04__S2A_MSIL2A_20180624T155221_R111_T17MNQ_20201012T015058.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_02_01__S2B_MSIL2A_20180629T155219_R111_T17MNQ_20201012T035851.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_02_03__S2B_MSIL2A_20180629T155219_R111_T17MNQ_20201012T035851.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_03_01__S2A_MSIL2A_20190716T153621_R068_T17MNQ_20201005T145340.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_03_03__S2A_MSIL2A_20190716T153621_R068_T17MNQ_20201005T145340.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_04_01__S2A_MSIL2A_20190726T153621_R068_T17MNQ_20201106T020833.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_04_02__S2A_MSIL2A_20190726T153621_R068_T17MNQ_20201106T020833.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_04_03__S2A_MSIL2A_20190726T153621_R068_T17MNQ_20201106T020833.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_06_02__S2B_MSIL2A_20191108T153619_R068_T17MNQ_20201003T143237.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_07_02__S2B_MSIL2A_20200429T155219_R111_T17MNQ_20200922T154442.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_07_03__S2B_MSIL2A_20200429T155219_R111_T17MNQ_20200922T154442.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_07_04__S2B_MSIL2A_20200429T155219_R111_T17MNQ_20200922T154442.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_08_02__S2B_MSIL2A_20200516T153619_R068_T17MNQ_20200909T224113.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_08_03__S2B_MSIL2A_20200516T153619_R068_T17MNQ_20200909T224113.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_08_04__S2B_MSIL2A_20200516T153619_R068_T17MNQ_20200909T224113.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_09_01__S2A_MSIL2A_20200610T153631_R068_T17MNQ_20200826T204402.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_09_03__S2A_MSIL2A_20200610T153631_R068_T17MNQ_20200826T204402.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_10_01__S2B_MSIL2A_20200628T155229_R111_T17MNQ_20200824T121137.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_10_02__S2B_MSIL2A_20200628T155229_R111_T17MNQ_20200824T121137.tif;0;;;;;
D:\dataset\v6\input\ROI_0039_10_03__S2B_MSIL2A_20200628T155229_R111_T17MNQ_20200824T121137.tif;1;;;;;
D:\dataset\v6\input\ROI_0039_14_03__S2A_MSIL2A_20220312T153621_R068_T17MNQ_20220313T050931.tif;0;;;;;
D:\dataset\v6\input\ROI_0039_14_04__S2A_MSIL2A_20220312T153621_R068_T17MNQ_20220313T050931.tif;0;;;;;
D:\dataset\v6\input\ROI_0039_15_03__S2B_MSIL2A_20220429T155219_R111_T17MNQ_20220430T092038.tif;0;;;;;
D:\dataset\v6\input\ROI_0039_16_04__S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428.tif;0;;;;;
